date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation
2014-07-01,84,74,94,75,93,66,102,1985,1980,0,0.16,1.4
2014-07-02,84,74,94,75,93,66,104,1924,1894,0,0.16,5.43
2014-07-13,87,77,96,75,94,66,102,1895,1980,0,0.13,5.4
2014-07-15,82,75,89,75,94,64,103,1967,2000,0.06,0.12,4.32
2014-07-17,83,76,89,75,94,67,104,1974,1980,0.39,0.1,2.23
2014-07-18,81,75,87,75,94,67,102,1974,1980,0.04,0.11,2.85
2014-07-19,79,72,85,75,94,68,102,1974,1980,0,0.11,1.51
2014-07-24,84,73,94,75,94,68,101,1972,1954,0.01,0.1,2.09
2014-07-25,85,74,95,75,94,65,102,1894,1964,0,0.1,3.74
2014-07-28,88,77,99,75,95,66,103,1891,1995,0,0.1,2.52
2014-08-01,80,73,87,75,95,67,103,1984,1998,0.01,0.1,2.1
2014-08-08,87,77,97,75,95,68,104,1990,1962,0.1,0.1,1.66
2014-08-09,86,77,94,75,95,62,106,1989,1962,0,0.11,1.83
2014-08-13,84,73,94,75,95,64,104,2004,1962,0,0.11,1.82
2014-08-15,86,75,96,75,95,61,101,2004,1994,0,0.11,2.74
2014-08-19,85,76,94,75,95,69,107,2000,1909,0,0.13,1.85
2014-08-20,85,74,96,75,95,65,107,1976,1909,0.01,0.13,1.8
2014-08-24,86,74,98,75,94,54,105,1891,1980,0,0.14,2.48
2014-08-28,83,76,90,74,94,63,107,1992,2011,0,0.14,3.88
2014-08-31,79,74,84,74,93,62,107,1893,2000,0.83,0.16,5.98
2014-09-03,84,75,93,73,93,60,105,1987,2000,0,0.14,3.2
2014-09-09,85,74,95,72,91,59,100,1988,1909,0,0.15,4.22
2014-09-15,80,68,92,70,90,55,98,1892,1980,0,0.14,3.23
2014-09-17,82,75,89,70,89,55,100,2000,1995,0.25,0.13,1.85
2014-09-18,77,73,81,69,89,54,99,2000,1927,2.31,0.13,2.53
2014-09-20,81,73,89,69,89,54,99,1901,1999,0,0.13,7.66
2014-09-21,82,73,91,68,88,53,100,1983,2005,0,0.13,3.07
2014-09-28,81,72,89,66,87,48,98,1909,1998,0,0.13,1.25
2014-09-29,80,70,89,66,86,47,96,1908,2011,0,0.12,2.51
2014-10-02,82,71,93,65,86,47,97,1984,1938,0.78,0.16,2.25
2014-10-08,80,69,90,63,84,42,96,1952,1962,0.06,0.17,2.07
2014-10-09,79,68,90,63,84,40,93,1976,1962,0,0.17,3.6
2014-10-11,76,66,85,62,83,44,94,1990,1962,0.02,0.18,3.02
2014-10-18,75,63,86,60,82,39,96,1978,1895,0.5,0.21,4.04
2014-10-20,71,59,83,60,81,32,93,1989,2004,0,0.2,2.54
2014-10-23,69,58,80,59,80,40,91,1996,1988,0,0.2,3.79
2014-10-24,68,54,82,59,80,39,92,1908,1931,0,0.19,2.13
2014-10-28,73,60,86,58,79,36,90,1898,1991,0,0.18,8.04
2014-11-02,57,41,72,56,77,34,89,1991,1978,0,0.14,4.58
2014-11-04,72,62,82,56,76,28,89,1991,1988,0,0.16,3.2
2014-11-05,69,64,74,55,76,31,88,1991,1963,1.12,0.16,5.22
2014-11-14,41,34,47,53,73,28,89,1969,1921,0,0.15,1.4
2014-11-15,48,43,53,52,73,25,88,1969,1978,0.3,0.14,2.8
2014-11-17,44,36,52,52,72,31,85,1997,2013,0,0.14,5.19
2014-11-18,44,32,55,51,72,28,84,1959,1973,0,0.14,3.36
2014-11-20,61,46,76,51,71,27,84,1969,1977,0.04,0.13,1.85
